coral_sample,site,id,date_collected,time,direction,distance_from_0_m,left_or_right_of_transect,distance_from_transect_cm,length_cm,width_cm,growth_morph_branch_plate_hybrid_ljrj_fd,notes_ljrj,growth_morph_branch_plate_hybrid_dc,color,health_at_collection_(dc),fluorescence_(y/n_-_color),notes,health_1_(dc_-_9/18-19),health_2_(dc_-_10/3-4),health_2_(cc/mrds-_10/3-4)
4_8_7,4_8,427,20170815,1200.0,West,6.9,Right,100,80,45,Branch,,Branch,Orange,3.0,,,3.0,,
4_8_8,4_8,428,20170815,1200.0,West,7.4,Right,50,20,20,Branch,,Branch,Orange,2.0,,,3.0,2.0,
4_8_9,4_8,429,20170815,1200.0,West,8.7,Left,200,70,50,Branch,,Branch,Orange,3.0,,,,3.0,
4_8_10,4_8,430,20170815,1200.0,West,8.9,Under,,55,40,Branch,,Branch,Brown,2.0,,,,2.0,
4_8_11,4_8,431,20170815,1200.0,West,9.7,Right,35,30,30,Branch,,Branch,Brown,2.0,,,,2.0,
4_8_12,4_8,432,20170815,1200.0,South,1.3,Right,115,25,20,Branch,,Branch,Brown,2.0,,,,,
4_8_13,4_8,433,20170815,1200.0,South,3.5,Left,110,20,20,Branch,,Branch,Orange,2.0,,,,,
4_8_14,4_8,434,20170815,1200.0,South,3.6,Left,5,30,20,Branch,,Branch,Orange,3.0,,,,,3.0
4_8_15,4_8,435,20170815,1200.0,South,5,Under,,100,60,Branch,,Branch,Orange,2.0,,,,3.0,3.0
4_8_16,4_8,436,20170815,1200.0,South,6.5,Right,20,60,55,Branch,,Branch,Orange,3.0,,,,2.0,2.0
4_8_17,4_8,437,20170815,1200.0,South,7.2,Right,70,20,15,Branch,,Hybrid,Orange,2.0,,,,,2.0
4_8_18,4_8,438,20170815,1200.0,South,9.6,Right,35,30,20,Branch,,Hybrid,Brown,2.0,,,,,2.0
4_8_19,4_8,439,20170815,1200.0,East,2.5,Under,,90,60,Branch,,Hybrid,Brown,2.0,,,2.0,2.0,2.0
4_8_20,4_8,440,20170815,1200.0,East,4,Left,5,70,45,Branch,,Branch,Orange,2.0,,,,,3.0
4_11_1,4_11,441,20170822,1400.0,West,1.2,Under,,45,40,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
4_11_2,4_11,442,20170822,1400.0,West,2.2,Right,130,>100,>100,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
4_11_3,4_11,443,20170822,1400.0,West,3,Under,,>100,>100,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
4_11_4,4_11,444,20170822,1400.0,West,5,Under,,>100,>100,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
4_11_5,4_11,445,20170822,1400.0,West,6.9,Right,80,>100,>100,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
4_11_6,4_11,446,20170822,1400.0,West,7.3,Under,,>100,>100,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
4_11_7,4_11,447,20170822,1400.0,West,8.9,Left,50,70,40,Hybrid,,Hybrid,Orange,3.0,,,,,
4_11_8,4_11,448,20170822,1400.0,West,10,Right,35,>100,>100,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
4_11_9,4_11,449,20170822,1400.0,South,0.9,Left,80,100,60,Branch,,Branch,Orange,2.0,,,,2.0,3.0
4_11_10,4_11,450,20170822,1400.0,South,1.5,Right,90,>100,>100,Branch,,Branch,Orange,3.0,,,3.0,3.0,
4_11_11,4_11,451,20170822,1400.0,South,2.5,Under,,>100,>100,Hybrid,,Branch,Orange,3.0,,,,3.0,
4_11_12,4_11,452,20170822,1400.0,South,4.2,Under,,90,40,Hybrid,,Branch,Orange,3.0,,,,3.0,
4_11_13,4_11,453,20170822,1400.0,South,4.3,Left,35,35,30,Branch,,Branch,Orange,3.0,,,,3.0,
4_11_14,4_11,454,20170822,1400.0,South,7,Right,180,60,50,Branch,,Branch,Orange,3.0,,,,3.0,
4_11_15,4_11,455,20170822,1400.0,South,8.4,Right,75,75,70,Branch,,Branch,Orange,2.0,,,,2.0,
4_11_16,4_11,456,20170822,1400.0,South,8.9,Right,20,30,20,Branch,,Branch,Orange,2.0,,,,3.0,
4_11_17,4_11,457,20170822,1400.0,South,10.5,Left,55,>100,>100,Branch,,Branch,Orange,3.0,,,,3.0,
4_11_18,4_11,458,20170822,1400.0,East,1.5,Under,,>100,>100,Hybrid,,Hybrid,Brown,2.0,,,3.0,3.0,3.0
4_11_19,4_11,459,20170822,1400.0,East,2.6,Left,70,80,50,Branch,,Branch,Brown,3.0,,,3.0,3.0,3.0
4_11_20,4_11,460,20170822,1400.0,East,3.9,Left,25,60,40,Branch,,Branch,Orange,3.0,,,,3.0,3.0
4_14_1,4_14,461,20170822,1245.0,West,1.1,Under,,25,25,Hybrid,,Hybrid,Orange,3.0,,,2.0,2.0,
4_14_2,4_14,462,20170822,1245.0,West,1.7,Under,,30,30,Hybrid,,Hybrid,Orange,2.0,,Small portion fully bleached,3.0,2.0,
4_14_3,4_14,463,20170822,1245.0,West,2.6,Right,95,25,20,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
4_14_4,4_14,464,20170822,1245.0,West,2.2,Left,20,30,25,Hybrid,,Hybrid,Orange,3.0,,,3.0,2.0,3.0
4_14_5,4_14,465,20170822,1245.0,West,6.2,Left,25,20,20,Branch,,Branch,Orange,3.0,,,,2.0,2.0
4_14_6,4_14,466,20170822,1245.0,West,6.1,Right,25,20,15,Branch,,Branch,Orange,3.0,,,,,
4_14_7,4_14,467,20170822,1245.0,West,6.9,Right,15,20,15,Branch,,Branch,Orange,2.0,,,,2.0,2.0
4_14_8,4_14,468,20170822,1245.0,West,7.6,Right,75,50,35,Branch,,Hybrid,Orange,2.0,,,,2.0,
4_14_9,4_14,469,20170822,1245.0,West,8,Under,,50,45,Branch,,Branch,Orange,3.0,,,,3.0,2.0
4_14_10,4_14,470,20170822,1245.0,South,1.5,Right,100,40,35,Branch,,Branch,Brown,3.0,,,3.0,3.0,3.0
4_14_11,4_14,471,20170822,1245.0,South,2.2,Right,55,60,10,Branch,,Hybrid,Orange,3.0,,,3.0,2.0,2.0
4_14_12,4_14,472,20170822,1245.0,South,3.2,Left,65,>100,>100,Branch,,Branch,Orange,3.0,,,2.0,2.0,2.0
4_14_13,4_14,473,20170822,1245.0,South,9.9,Left,115,90,50,Branch,,Branch,Orange,2.0,,,,,
4_14_14,4_14,474,20170822,1245.0,South,9.7,Right,100,>100,>100,Branch,,Branch,Orange,2.0,,,3.0,2.0,3.0
4_14_15,4_14,475,20170822,1245.0,East,1,Left,140,95,90,Branch,,Branch,Orange,3.0,,,,3.0,3.0
4_14_16,4_14,476,20170822,1245.0,East,2.4,Left,45,60,30,Branch,,Branch,Orange,2.0,,,,,2.0
4_14_17,4_14,477,20170822,1245.0,East,4.4,Right,20,40,30,Branch,,Hybrid,Orange,3.0,,,,,
4_14_18,4_14,478,20170822,1245.0,East,6,Right,65,40,30,Branch,,Branch,Orange,2.0,,,,2.0,2.0
4_14_19,4_14,479,20170822,1245.0,East,7.2,Right,20,75,60,Branch,,Hybrid,Orange,2.0,,,,2.0,2.0
4_14_20,4_14,480,20170822,1245.0,East,8.6,Under,,60,40,Branch,,Hybrid,Orange,2.0,Y - yellow,,,2.0,
5_1_1,5_1,481,20170822,1530.0,West,9.3,Left,30,40,35,Branch,,Branch,Brown,2.0,Y - blue,,,,
5_1_2,5_1,482,20170822,1530.0,West,9.7,Left,20,35,10,Branch,,Hybrid,Brown,2.0,,,,2.0,
5_1_3,5_1,483,20170822,1530.0,West,10.4,Right,100,35,25,Branch,,Branch,Orange,3.0,,,,,
5_1_4,5_1,484,20170822,1530.0,West,10.3,Left,100,30,20,Branch,,Branch,Brown,3.0,,,,,
5_1_5,5_1,485,20170822,1530.0,South,1.9,Right,30,100,90,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
5_1_6,5_1,486,20170822,1530.0,South,2.4,Under,,65,60,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
5_1_7,5_1,487,20170822,1530.0,South,3.5,Left,20,45,45,Branch,,Branch,Orange,2.0,,,,,3.0
5_1_8,5_1,488,20170822,1530.0,South,4.4,Right,35,100,50,Branch,,Branch,Orange,3.0,,,3.0,,3.0
5_1_9,5_1,489,20170822,1530.0,South,5.9,Under,,65,60,Branch,,Branch,Orange,1.0,,,,,2.0
5_1_10,5_1,490,20170822,1530.0,South,5.9,Left,60,85,80,Branch,,Hybrid,Brown,2.0,,,,,
5_1_11,5_1,491,20170822,1530.0,South,7.6,Under,,>100,>100,Branch,,Branch,Orange,3.0,,,,,
5_1_12,5_1,492,20170822,1530.0,South,7.8,Right,100,40,25,Branch,,Branch,Orange,3.0,,,,,
5_1_13,5_1,493,20170822,1530.0,South,8.6,Right,160,50,45,Branch,half dead,Branch,Orange,2.0,Y - blue,,,,
5_1_14,5_1,494,20170822,1530.0,East,1.2,Right,45,50,35,Branch,,Branch,Orange,3.0,,,,3.0,3.0
5_1_15,5_1,495,20170822,1530.0,East,1.5,Under,,100,80,Branch,,Branch,Orange,3.0,,,3.0,3.0,
5_1_16,5_1,496,20170822,1530.0,East,2,Right,35,85,60,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
5_1_17,5_1,497,20170822,1530.0,East,2.4,Left,10,80,60,Branch,,Branch,Brown,3.0,,,3.0,3.0,3.0
5_1_18,5_1,498,20170822,1530.0,East,3.3,Right,25,>100,>100,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
5_1_19,5_1,499,20170822,1530.0,East,3.3,Under,,40,35,Branch,,Branch,Brown,3.0,,,3.0,,
5_1_20,5_1,500,20170822,1530.0,East,4.1,Left,160,40,25,Branch,,Branch,Orange,3.0,,,,,
5_2_1,5_2,501,20170829,1330.0,West,0.8,Under,,70,50,Branch,couldn't find hobo; put new hobo #33; took new GPS point 5--2,Hybrid,Brown,3.0,Had to put out new Hobo (33) but still used original coordinates,,3.0,3.0,
5_2_2,5_2,502,20170829,1330.0,West,1,Left,40,20,20,Branch,,Branch,Orange,2.0,,,2.0,3.0,2.0
5_2_3,5_2,503,20170829,1330.0,West,1.2,Left,40,25,20,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
5_2_4,5_2,504,20170829,1330.0,West,1.7,Left,70,30,30,Branch,,Branch,Brown,3.0,,,2.0,3.0,3.0
5_2_5,5_2,505,20170829,1330.0,West,1.5,Under,,60,30,Branch,,Branch,Orange,3.0,,,3.0,,
5_2_6,5_2,506,20170829,1330.0,West,1.6,Right,25,45,30,Hybrid,,Branch,Orange,2.0,,,3.0,3.0,
5_2_7,5_2,507,20170829,1330.0,West,2,Right,50,30,20,Branch,,Branch,Orange,2.0,,,3.0,3.0,
5_2_8,5_2,508,20170829,1330.0,West,2.2,Right,10,20,15,Branch,,Hybrid,Orange,3.0,,,2.0,2.0,2.0
5_2_9,5_2,509,20170829,1330.0,West,2,Under,,30,20,Branch,,Branch,Brown,2.0,,,3.0,,
5_2_10,5_2,510,20170829,1330.0,West,2.7,Left,80,55,35,Branch,,Hybrid,Brown,2.0,,,3.0,3.0,2.0
5_2_11,5_2,511,20170829,1330.0,West,2.8,Under,,35,15,Branch,,Branch,Orange,3.0,,,3.0,,
5_2_12,5_2,512,20170829,1330.0,West,2.8,Right,20,25,20,Branch,,Branch,Orange,3.0,,,2.0,,
5_2_13,5_2,513,20170829,1330.0,West,4.1,Left,80,30,25,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,2.0
5_2_14,5_2,514,20170829,1330.0,West,4.2,Left,100,50,50,Hybrid,,Branch,Orange,3.0,,,3.0,3.0,2.0
5_2_15,5_2,515,20170829,1330.0,West,4.4,Right,20,50,35,Hybrid,,Branch,Brown,3.0,,,3.0,3.0,3.0
5_2_16,5_2,516,20170829,1330.0,West,5,Right,20,70,65,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,2.0
5_2_17,5_2,517,20170829,1330.0,West,5.6,Under,,70,60,Plate,,Plate,Orange,3.0,,,3.0,3.0,
5_2_18,5_2,518,20170829,1330.0,West,6,Left,45,25,25,Branch,,Branch,Orange,3.0,,,3.0,3.0,
5_2_19,5_2,519,20170829,1330.0,West,7.9,Right,110,25,20,Hybrid,,Branch,Orange,3.0,,,1.0,3.0,2.0
5_2_20,5_2,520,20170829,1330.0,West,8.8,Under,,50,30,Plate,,Hybrid,Orange,2.0,,,,2.0,2.0
5_3_1,5_3,521,20170829,1030.0,West,0.3,Right,105,50,30,Branch,,Branch,Brown,2.0,Y - yellow,,2.0,,
5_3_2,5_3,522,20170829,1030.0,West,0.7,Left,200,30,20,Branch,,Branch,Orange,2.0,Y - yellow,,,2.0,
5_3_3,5_3,523,20170829,1030.0,West,1.4,Left,160,45,25,Branch,,Branch,Orange,2.0,,,,,
5_3_4,5_3,524,20170829,1030.0,West,2,Left,185,40,35,Branch,,Branch,Orange,2.0,,,2.0,2.0,
5_3_5,5_3,525,20170829,1030.0,West,3.3,Left,80,30,30,Branch,,Branch,Orange,3.0,,,2.0,3.0,
5_3_6,5_3,526,20170829,1030.0,West,2.5,Right,30,15,15,Branch,,Branch,Orange,2.0,,,3.0,,
5_3_7,5_3,527,20170829,1030.0,West,3.4,Right,10,20,20,Branch,,Branch,Orange,2.0,,,2.0,3.0,
5_3_8,5_3,528,20170829,1030.0,West,3.9,Left,10,20,10,Branch,,Branch,Orange,2.0,,,2.0,2.0,
5_3_9,5_3,529,20170829,1030.0,West,4.1,Left,40,35,25,Branch,,Branch,Orange,3.0,Y - yellow,,3.0,,
5_3_10,5_3,530,20170829,1030.0,West,4.7,Under,,35,10,Branch,,Branch,Orange,2.0,,,2.0,2.0,
5_3_11,5_3,531,20170829,1030.0,West,4.5,Right,80,35,15,Branch,,Branch,Orange,3.0,Y - yellow,,3.0,3.0,
5_3_12,5_3,532,20170829,1030.0,West,5.8,Right,100,25,15,Branch,,Branch,Orange,3.0,Y - yellow,,3.0,,
5_3_13,5_3,533,20170829,1030.0,West,6.1,Right,10,15,10,Branch,,Branch,Orange,2.0,,,3.0,3.0,
5_3_14,5_3,534,20170829,1030.0,West,6.4,Left,15,30,30,Branch,,Branch,Orange,3.0,Y - yellow,,3.0,3.0,
5_3_15,5_3,535,20170829,1030.0,West,6.8,Under,,20,15,Branch,,Branch,Orange,3.0,,,3.0,3.0,
5_3_16,5_3,536,20170829,1030.0,West,7.5,Under,,40,35,Branch,,Branch,Orange,2.0,Y - yellow,,,,
5_3_17,5_3,537,20170829,1030.0,West,8,Under,,50,45,Branch,,Branch,Orange,3.0,Y - yellow,,3.0,,2.0
5_3_18,5_3,538,20170829,1030.0,West,8.5,Left,10,40,20,Branch,,Branch,Orange,2.0,Y - yellow,,2.0,,2.0
5_3_19,5_3,539,20170829,1030.0,West,9,Under,,75,50,Branch,,Branch,Orange,3.0,,,3.0,,3.0
5_3_20,5_3,540,20170829,1030.0,West,9.7,Right,100,80,70,Branch,,Hybrid,Orange,3.0,,,2.0,,3.0
5_6_1,5_6,541,20170829,1145.0,West,0.5,Left,30,25,10,Branch,,Branch,Orange,3.0,,,,,
5_6_2,5_6,542,20170829,1145.0,West,0.9,Left,50,25,10,Branch,,Branch,Brown,3.0,Y - yellow,,3.0,,
5_6_3,5_6,543,20170829,1145.0,West,1.2,Right,150,25,20,Branch,,Branch,Orange,3.0,,,3.0,3.0,
5_6_4,5_6,544,20170829,1145.0,West,1.4,Right,100,30,20,Hybrid,,Hybrid,Orange,3.0,Y - blue,,3.0,3.0,
5_6_5,5_6,545,20170829,1145.0,West,2,Right,30,50,40,Branch,,Branch,Brown,3.0,Y - yellow,,3.0,3.0,3.0
5_6_6,5_6,546,20170829,1145.0,West,1.9,Right,30,35,30,Branch,,Branch,Orange,3.0,,,,3.0,
5_6_7,5_6,547,20170829,1145.0,West,2.7,Left,30,40,40,Branch,,Branch,Orange,3.0,,,,3.0,
5_6_8,5_6,548,20170829,1145.0,West,3.1,Right,10,40,35,Branch,,Branch,Orange,3.0,Y - blue,,3.0,3.0,3.0
5_6_9,5_6,549,20170829,1145.0,West,3.4,Under,,35,30,Hybrid,,Hybrid,Orange,3.0,Y - blue,,3.0,3.0,
5_6_10,5_6,550,20170829,1145.0,West,4.1,Left,70,50,40,Branch,,Branch,Orange,3.0,,,3.0,,
5_6_11,5_6,551,20170829,1145.0,West,3.9,Right,10,50,30,Branch,,Branch,Brown,3.0,,,3.0,3.0,
5_6_12,5_6,552,20170829,1145.0,West,4.8,Right,120,50,30,Branch,,Branch,Orange,3.0,,,,3.0,
5_6_13,5_6,553,20170829,1145.0,West,5,Right,50,40,30,Branch,,Branch,Brown,3.0,,,,3.0,
5_6_14,5_6,554,20170829,1145.0,West,5.9,Under,,40,25,Branch,,Branch,Orange,3.0,,,,3.0,
5_6_15,5_6,555,20170829,1145.0,West,7,Right,90,60,30,Branch,,Branch,Orange,3.0,,,,3.0,
5_6_16,5_6,556,20170829,1145.0,West,7,Under,,90,70,Branch,,Branch,Orange,2.0,,,,3.0,
5_6_17,5_6,557,20170829,1145.0,West,9,Right,50,45,35,Branch,,Branch,Orange,3.0,,,,3.0,3.0
5_6_18,5_6,558,20170829,1145.0,West,9.7,Left,20,50,30,Branch,,Branch,Orange,3.0,,,,3.0,3.0
5_6_19,5_6,559,20170829,1145.0,West,10.3,Left,10,50,35,Branch,,Branch,Orange,3.0,,,,,3.0
5_6_20,5_6,560,20170829,1145.0,West,11,Right,10,40,30,Branch,,Branch,Orange,2.0,,,,3.0,
5_7_1,5_7,561,20170829,,West,0,Left,90,40,35,Branch,,Branch,Orange,2.0,,,3.0,,
5_7_2,5_7,562,20170829,,West,0.4,Left,125,20,20,Hybrid,,Branch,Orange,2.0,,,3.0,,
5_7_3,5_7,563,20170829,,West,0.5,Right,120,80,50,Branch,,Branch,Orange,2.0,,,,,
5_7_4,5_7,564,20170829,,West,0.8,Right,50,40,20,Branch,,Branch,Orange,3.0,,,,3.0,
5_7_5,5_7,565,20170829,,West,0.7,Under,,30,10,Branch,,Branch,Orange,2.0,,,,,
5_7_6,5_7,566,20170829,,West,1.3,Left,75,15,15,Branch,,Branch,Orange,3.0,,,3.0,,3.0
5_7_7,5_7,567,20170829,,West,1.9,Right,120,50,30,Branch,,Branch,Orange,2.0,,,3.0,,
5_7_8,5_7,568,20170829,,West,3.5,Right,80,90,30,Hybrid,,Hybrid,Orange,3.0,,,,,
5_7_9,5_7,569,20170829,,West,3.4,Left,100,30,25,Branch,,Branch,Orange,3.0,,,,,
5_7_10,5_7,570,20170829,,West,4.1,Right,20,20,20,Branch,,Branch,Orange,2.0,,,,,
5_7_11,5_7,571,20170829,,West,4.9,Left,60,20,15,Hybrid,,Hybrid,Orange,3.0,,,,,
5_7_12,5_7,572,20170829,,West,5.5,Left,80,35,30,Branch,,Branch,Orange,2.0,,,,,
5_7_13,5_7,573,20170829,,South,1.3,Under,,35,20,Branch,,Branch,Orange,2.0,,,3.0,,
5_7_14,5_7,574,20170829,,South,2.2,Under,,25,20,Branch,,Branch,Orange,2.0,,,,,2.0
5_7_15,5_7,575,20170829,,South,2.3,Right,80,30,20,Branch,,Branch,Orange,3.0,,,3.0,,2.0
5_7_16,5_7,576,20170829,,South,3.8,Under,,30,30,Branch,,Hybrid,Orange,3.0,,,3.0,3.0,2.0
5_7_17,5_7,577,20170829,,South,5.6,Right,20,70,50,Branch,,Hybrid,Brown,2.0,,,2.0,2.0,
5_7_18,5_7,578,20170829,,South,6.4,Left,150,130,90,Plate,,Plate,Orange,3.0,,,,3.0,3.0
5_7_19,5_7,579,20170829,,South,7.8,Left,10,50,40,Branch,,Branch,Orange,3.0,,,,3.0,3.0
5_7_20,5_7,580,20170829,,South,9,Under,,50,50,Hybrid,no bag; Ford collected and put in tube directly,Hybrid,Orange,2.0,,,3.0,2.0,
5_8_1,5_8,581,20170829,,West,0.1,Left,80,30,25,Hybrid,,Hybrid,Brown,3.0,,,,3.0,
5_8_2,5_8,582,20170829,,West,0.3,Left,90,65,55,Branch,,Hybrid,Orange,3.0,,,,3.0,3.0
5_8_3,5_8,583,20170829,,West,0.9,Left,40,50,40,Hybrid,,Hybrid,Orange,3.0,Y - blue,,,3.0,3.0
5_8_4,5_8,584,20170829,,West,1.7,Left,90,50,25,Branch,,Branch,Brown,3.0,,,,3.0,3.0
5_8_5,5_8,585,20170829,,West,1.1,Under,,45,25,Hybrid,,Hybrid,Orange,3.0,,,3.0,,
5_8_6,5_8,586,20170829,,West,0.9,Right,30,35,30,Hybrid,,Branch,Orange,3.0,,,3.0,3.0,
5_8_7,5_8,587,20170829,,West,1.8,Right,20,55,30,Hybrid,,Branch,Brown,2.0,,,3.0,3.0,3.0
5_8_8,5_8,588,20170829,,West,2.3,Right,60,50,30,Hybrid,,Branch,Orange,3.0,,,,3.0,
5_8_9,5_8,589,20170829,,West,2.4,Left,30,110,60,Branch,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
5_8_10,5_8,590,20170829,,West,3.3,Left,30,50,45,Branch,,Hybrid,Orange,3.0,,,,3.0,
5_8_11,5_8,591,20170829,,West,3.8,Under,,50,35,Branch,,Branch,Orange,3.0,,,3.0,3.0,
5_8_12,5_8,592,20170829,,West,3.8,Right,30,30,25,Branch,,Branch,Orange,3.0,,,3.0,3.0,
5_8_13,5_8,593,20170829,,West,4.3,Under,,80,30,Branch,,Hybrid,Orange,3.0,,,,,
5_8_14,5_8,594,20170829,,West,5.4,Left,15,30,30,Branch,,Hybrid,Brown,3.0,,,3.0,3.0,3.0
5_8_15,5_8,595,20170829,,West,5.7,Right,50,40,35,Branch,,Hybrid,Brown,3.0,,,,3.0,3.0
5_8_16,5_8,596,20170829,,West,6.1,Left,25,70,50,Branch,,Branch,Brown,3.0,,,,,
5_8_17,5_8,597,20170829,,West,7.8,Left,65,25,20,Branch,,Branch,Brown,3.0,Y - yellow,,2.0,3.0,
5_8_18,5_8,598,20170829,,West,8.5,Right,25,25,15,Branch,,Hybrid,Orange,2.0,,,3.0,3.0,
5_8_19,5_8,599,20170829,,West,9.8,Right,70,50,25,Branch,,Hybrid,Orange,3.0,,,,3.0,
5_8_20,5_8,600,20170829,,West,10.2,Under,,70,50,Hybrid,,Hybrid,Orange,3.0,,,,,
