coral_sample,site,id,date_collected,time,direction,distance_from_0_m,left_or_right_of_transect,distance_from_transect_cm,length_cm,width_cm,growth_morph_branch_plate_hybrid_ljrj_fd,notes_ljrj,growth_morph_branch_plate_hybrid_dc,color,health_at_collection_(dc),fluorescence_(y/n_-_color),notes,health_1_(dc_-_9/18-19),health_2_(dc_-_10/3-4),health_2_(cc/mrds-_10/3-4)
1_10_12,1_10,112,20170828,1230.0,South,4.8,Right,40,70,50,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_10_13,1_10,113,20170828,1230.0,South,3.1,Under,,50,25,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_10_14,1_10,114,20170828,1230.0,South,4.2,Under,,45,25,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_10_15,1_10,115,20170828,1230.0,South,5.4,Right,15,45,25,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,
1_10_16,1_10,116,20170828,1230.0,South,6.2,Under,,50,30,Branch,,Branch,Brown,3.0,,,3.0,3.0,
1_10_17,1_10,117,20170828,1230.0,South,7.3,Left,15,25,20,Branch,,Branch,Brown,3.0,,,3.0,3.0,
1_10_18,1_10,118,20170828,1230.0,South,7.8,Left,50,45,30,Branch,,Branch,Orange,3.0,,,2.0,2.0,
1_10_19,1_10,119,20170828,1230.0,South,7.8,Left,130,75,40,Branch,,Branch,Orange,3.0,,,3.0,,
1_10_20,1_10,120,20170828,1230.0,South,8.7,Right,75,70,45,Branch,,Branch,Brown,2.0,,,,2.0,
2_1_1,2_1,121,20170811,1330.0,West,0.5,Right,10,82,53,Branch,,Branch,Orange,,,,3.0,3.0,3.0
2_1_2,2_1,122,20170811,1330.0,South,1.7,Left,20,>100,>100,Branch,,Branch,Brown,,,,,3.0,3.0
2_1_3,2_1,123,20170811,1330.0,West,2.8,Left,10,>100,>100,Hybrid,,Branch,Orange,,,,3.0,3.0,3.0
2_1_4,2_1,124,20170811,1330.0,West,3.6,Under,,>100,>100,Branch,,Branch,Orange,,,,3.0,,3.0
2_1_5,2_1,125,20170811,1330.0,West,4.6,Left,80,>100,>100,Branch,,Branch,Orange,,,,3.0,1.5,3.0
2_1_6,2_1,126,20170811,1330.0,West,5.7,Under,,66,39,Branch,,Branch,Orange,,,,3.0,,
2_1_7,2_1,127,20170811,1330.0,West,6.5,Right,30,74,55,Branch,,Branch,Orange,,,,3.0,,
2_1_8,2_1,128,20170811,1330.0,West,8,Under,,>100,>100,Branch,,Branch,Brown,,,,2.0,,
2_1_9,2_1,129,20170811,1330.0,West,10,Under,,70,67,Branch,,Branch,Orange,,,,2.0,,
2_1_10,2_1,130,20170811,1330.0,South,0.6,Right,10,>100,>100,Branch,,Branch,Orange,,,,3.0,,3.0
