Sample	Site	Direction	Left_or_Right_of_transect	DC_distance_fr_0_m	DT_distance_fr_transect_m	X	Y
116	1_10	South	Under	6.2	0	-6.2	0
117	1_10	South	Left	7.3	0.15	-7.3	-0.15
118	1_10	South	Left	7.8	0.5	-7.8	-0.5
119	1_10	South	Left	7.8	1.3	-7.8	-1.3
120	1_10	South	Right	8.7	0.75	-8.7	0.75
121	2_1	West	Right	0.5	0.1	0.1	0.5
122	2_1	South	Left	1.7	0.2	-1.7	-0.2
123	2_1	West	Left	2.8	0.1	-0.1	2.8
124	2_1	West	Under	3.6	0	0	3.6
125	2_1	West	Left	4.6	0.8	-0.8	4.6
126	2_1	West	Under	5.7	0	0	5.7
127	2_1	West	Right	6.5	0.3	0.3	6.5
128	2_1	West	Under	8	0	0	8
129	2_1	West	Under	10	0	0	10
130	2_1	South	Right	0.6	0.1	-0.6	0.1
131	2_1	West	Under	1.5	0	0	1.5
132	2_1	South	Under	3.3	0	-3.3	0
133	2_1	South	Left	4.6	0.3	-4.6	-0.3
134	2_1	South	Under	5.5	0	-5.5	0
135	2_1	South	Under	6.4	0	-6.4	0
136	2_1	South	Left	7.8	0.4	-7.8	-0.4
137	2_1	South	Left	8.9	0.65	-8.9	-0.65
138	2_1	South	Under	9.5	0	-9.5	0
139	2_1	East	Under	3.1	0	0	-3.1
140	2_1	East	Under	4.2	0	0	-4.2
141	2_2	West	Right	1	0.65	0.65	1
142	2_2	West	Left	1.3	0.7	-0.7	1.3
143	2_2	West	Right	3.1	0.2	0.2	3.1
144	2_2	West	Right	4.1	0.3	0.3	4.1
145	2_2	West	Under	5.6	0	0	5.6
146	2_2	West	Right	5.8	0.5	0.5	5.8
147	2_2	West	Under	7	0	0	7
148	2_2	West	Right	8.3	0.3	0.3	8.3
150	2_2	South	Under	1.3	0	-1.3	0
151	2_2	South	Left	3.2	0.65	-3.2	-0.65
152	2_2	South	Under	3.8	0	-3.8	0
153	2_2	South	Under	5.1	0	-5.1	0
154	2_2	South	Under	6.1	0	-6.1	0
155	2_2	South	Right	7	0.55	-7	0.55
156	2_2	South	Under	7.7	0	-7.7	0
157	2_2	South	Under	8.4	0	-8.4	0
158	2_2	South	Right	8.8	0.6	-8.8	0.6
159	2_2	South	Under	9.6	0	-9.6	0
160	2_2	South	Left	10.3	0.45	-10.3	-0.45
161	2_3	West	Right	1	0.65	0.65	1
162	2_3	West	Left	1	0.6	-0.6	1
163	2_3	West	Left	1.6	0.6	-0.6	1.6
164	2_3	West	Right	2	0.35	0.35	2
165	2_3	West	Right	2	1.75	1.75	2
166	2_3	West	Right	3.5	1.85	1.85	3.5
167	2_3	West	Left	4.9	1.2	-1.2	4.9
168	2_3	West	Left	5.6	0.5	-0.5	5.6
169	2_3	West	Right	6.2	0.25	0.25	6.2
170	2_3	West	Right	5.1	2	2	5.1
171	2_3	West	Left	9.1	1.3	-1.3	9.1
172	2_3	West	Right	9.8	1.1	1.1	9.8
173	2_3	South	Left	1	0.25	-1	-0.25
174	2_3	South	Under	1.7	0	-1.7	0
175	2_3	South	Left	2.2	1.35	-2.2	-1.35
176	2_3	South	Under	2.6	0	-2.6	0
177	2_3	South	Under	3.5	0	-3.5	0
178	2_3	South	Left	4.2	0.25	-4.2	-0.25
179	2_3	South	Right	4.6	0.45	-4.6	0.45
180	2_3	South	Left	5.8	0.3	-5.8	-0.3
181	2_4	West	Left	1	0.1	-0.1	1
182	2_4	West	Left	4.7	0.8	-0.8	4.7
183	2_4	West	Left	5.4	0.3	-0.3	5.4
184	2_4	West	Right	5.4	0.5	0.5	5.4
185	2_4	West	Right	6.9	0.85	0.85	6.9
186	2_4	West	Right	7.3	0	0	7.3
187	2_4	West	Right	7.9	0.55	0.55	7.9
188	2_4	West	Right	9	0.05	0.05	9
189	2_4	West	Under	10	0	0	10
190	2_4	South	Left	0.5	0.05	-0.5	-0.05
191	2_4	South	Left	2.5	0.15	-2.5	-0.15
192	2_4	South	Right	3.7	0.6	-3.7	0.6
193	2_4	South	Left	4	0.7	-4	-0.7
194	2_4	South	Under	4.8	0	-4.8	0
195	2_4	South	Left	6.4	0.6	-6.4	-0.6
197	2_4	South	Right	7.7	0.55	-7.7	0.55
198	2_4	South	Left	8.3	0.35	-8.3	-0.35
199	2_4	South	Right	8.7	0.4	-8.7	0.4
200	2_4	South	Left	10	0.05	-10	-0.05
201	2_7	West	Under	1	0	0	1
202	2_7	West	Left	1.8	0.4	-0.4	1.8
203	2_7	West	Under	2.8	0	0	2.8
204	2_7	West	Under	3.4	0	0	3.4
205	2_7	West	Under	4.2	0	0	4.2
206	2_7	West	Right	5	0.2	0.2	5
207	2_7	West	Right	6.1	0.3	0.3	6.1
208	2_7	West	Under	6.5	0	0	6.5
209	2_7	West	Under	7	0	0	7
210	2_7	West	Right	8.2	0.2	0.2	8.2
211	2_7	West	Left	8.5	0.15	-0.15	8.5
212	2_7	West	Under	9.1	0	0	9.1
213	2_7	West	Left	10.3	0.2	-0.2	10.3
214	2_7	South	Under	1	0	-1	0
215	2_7	South	Under	1.5	0	-1.5	0
216	2_7	South	Under	2	0	-2	0
217	2_7	South	Right	2.6	0.2	-2.6	0.2
218	2_7	South	Under	3.4	0	-3.4	0
219	2_7	South	Under	4.3	0	-4.3	0
220	2_7	South	Under	5.4	0	-5.4	0
221	2_8	West	Right	1	0	0	1
222	2_8	West	Left	1.1	0	0	1.1
223	2_8	West	Left	1.8	0.5	-0.5	1.8
224	2_8	West	Left	2.2	0.4	-0.4	2.2
225	2_8	West	Left	4.3	1.4	-1.4	4.3
226	2_8	West	Left	6.5	1.7	-1.7	6.5
227	2_8	West	Left	6.9	1	-1	6.9
228	2_8	West	Left	5	0.9	-0.9	5
229	2_8	South	Right	2	1.4	-2	1.4
230	2_8	South	Right	2.7	2	-2.7	2
231	2_8	South	Right	3.2	2	-3.2	2
232	2_8	East	Left	1.4	2	2	-1.4
233	2_8	East	Under	3.6	0	0	-3.6
234	2_8	East	Left	4.2	0.25	0.25	-4.2
235	2_8	East	Left	9	2	2	-9
236	2_8	East	Under	10.3	0	0	-10.3
237	2_8	North	Right	2.5	1.1	2.5	-1.1
238	2_8	North	Right	3.8	0.85	3.8	-0.85
239	2_8	North	Left	1.5	1.4	1.5	1.4
241	3_2	West	Under	0.8	0	0	0.8
242	3_2	West	Right	4	1.35	1.35	4
243	3_2	West	Left	3.8	0.5	-0.5	3.8
244	3_2	West	Right	4.5	1.9	1.9	4.5
245	3_2	West	Left	6	1.65	-1.65	6
246	3_2	West	Left	8	1.6	-1.6	8
247	3_2	West	Right	8.5	0.25	0.25	8.5
